iter	Passed	Remaining
0	30	11998
1	48	9655
2	85	11251
3	119	11865
4	158	12549
5	194	12791
6	230	12943
7	272	13355
8	308	13388
9	351	13717
10	387	13718
11	421	13642
12	456	13579
13	491	13542
14	524	13471
15	560	13452
16	605	13637
17	645	13694
18	681	13672
19	717	13635
20	752	13579
21	788	13550
22	823	13493
23	857	13431
24	894	13411
25	929	13365
26	964	13321
27	1000	13292
28	1034	13239
29	1069	13193
30	1105	13163
31	1141	13124
32	1243	13831
33	1280	13786
34	1316	13732
35	1352	13675
36	1388	13620
37	1422	13555
38	1458	13500
39	1494	13450
40	1529	13396
41	1564	13338
42	1601	13297
43	1636	13238
44	1670	13175
45	1710	13166
46	1744	13104
47	1780	13055
48	1815	13006
49	1850	12955
50	1885	12905
51	1920	12853
52	1955	12805
53	1979	12683
54	2041	12807
55	2116	12999
56	2152	12951
57	2200	12974
58	2242	12962
59	2291	12985
60	2328	12941
61	2366	12900
62	2402	12851
63	2438	12799
64	2473	12750
65	2508	12696
66	2545	12649
67	2582	12606
68	2616	12552
69	2659	12538
70	2702	12523
71	2745	12507
72	2783	12466
73	2824	12444
74	2872	12445
75	2919	12447
76	2962	12426
77	3015	12447
78	3053	12405
79	3091	12367
80	3132	12337
81	3164	12272
82	3203	12236
83	3240	12188
84	3262	12091
85	3298	12044
86	3334	11995
87	3369	11945
88	3407	11907
89	3442	11858
90	3479	11816
91	3518	11779
92	3555	11735
93	3592	11694
94	3631	11658
95	3667	11614
96	3709	11587
97	3749	11553
98	3787	11515
99	3823	11470
100	3857	11421
101	3895	11381
102	3938	11355
103	3975	11315
104	4013	11277
105	4039	11203
106	4100	11227
107	4139	11190
108	4176	11151
109	4220	11126
110	4283	11153
111	4331	11138
112	4381	11129
113	4423	11098
114	4465	11067
115	4507	11035
116	4548	11002
117	4590	10969
118	4631	10935
119	4672	10902
120	4736	10922
121	4784	10901
122	4826	10869
123	4874	10848
124	4916	10816
125	4968	10805
126	5032	10817
127	5080	10795
128	5128	10773
129	5175	10748
130	5218	10715
131	5259	10678
132	5299	10638
133	5339	10598
134	5376	10554
135	5427	10535
136	5462	10486
137	5499	10440
138	5537	10397
139	5572	10349
140	5613	10311
141	5649	10265
142	5686	10219
143	5705	10142
144	5748	10110
145	5801	10092
146	5821	10019
147	5858	9975
148	5895	9931
149	5934	9890
150	5975	9854
151	6020	9822
152	6060	9783
153	6102	9747
154	6134	9696
155	6180	9666
156	6240	9658
157	6298	9646
158	6353	9630
159	6390	9586
160	6461	9591
161	6508	9562
162	6559	9537
163	6617	9522
164	6669	9499
165	6711	9460
166	6760	9432
167	6809	9403
168	6850	9363
169	6894	9328
170	6945	9301
171	7012	9295
172	7051	9252
173	7091	9210
174	7130	9167
175	7168	9123
176	7209	9083
177	7249	9040
178	7288	8998
179	7329	8958
180	7368	8915
181	7410	8876
182	7451	8836
183	7493	8797
184	7535	8757
185	7573	8713
186	7618	8677
187	7658	8635
188	7700	8596
189	7743	8558
190	7781	8515
191	7820	8472
192	7858	8428
193	7895	8384
194	7935	8341
195	7973	8298
196	8010	8254
197	8049	8211
198	8086	8167
199	8122	8122
200	8162	8080
201	8199	8036
202	8236	7993
203	8275	7951
204	8315	7909
205	8359	7872
206	8396	7828
207	8432	7784
208	8468	7739
209	8503	7693
210	8539	7648
211	8575	7604
212	8610	7559
213	8644	7513
214	8680	7469
215	8716	7425
216	8753	7381
217	8790	7338
218	8825	7294
219	8861	7250
220	8898	7207
221	8938	7167
222	8973	7122
223	9009	7078
224	9044	7034
225	9083	6993
226	9125	6954
227	9162	6912
228	9199	6869
229	9236	6826
230	9275	6786
231	9325	6753
232	9361	6709
233	9400	6668
234	9436	6625
235	9471	6581
236	9506	6538
237	9542	6495
238	9578	6452
239	9614	6409
240	9659	6372
241	9695	6330
242	9731	6287
243	9778	6251
244	9818	6211
245	9854	6168
246	9889	6125
247	9936	6090
248	9972	6047
249	10006	6003
250	10041	5960
251	10080	5920
252	10115	5877
253	10151	5834
254	10188	5793
255	10224	5751
256	10260	5709
257	10296	5667
258	10331	5624
259	10368	5582
260	10404	5540
261	10440	5499
262	10475	5456
263	10510	5414
264	10545	5372
265	10583	5331
266	10617	5289
267	10652	5246
268	10688	5205
269	10723	5162
270	10758	5121
271	10804	5084
272	10839	5042
273	10875	5000
274	10911	4959
275	10948	4918
276	10992	4881
277	11028	4839
278	11063	4798
279	11099	4756
280	11136	4716
281	11175	4676
282	11214	4636
283	11256	4597
284	11295	4557
285	11337	4519
286	11376	4479
287	11419	4441
288	11458	4401
289	11501	4362
290	11542	4323
291	11597	4289
292	11633	4248
293	11668	4207
294	11705	4166
295	11742	4125
296	11778	4084
297	11814	4043
298	11850	4002
299	11885	3961
300	11921	3920
301	11957	3880
302	11998	3841
303	12034	3800
304	12070	3759
305	12105	3718
306	12141	3678
307	12178	3637
308	12213	3596
309	12250	3556
310	12286	3516
311	12322	3475
312	12358	3435
313	12395	3394
314	12431	3354
315	12468	3314
316	12502	3273
317	12537	3232
318	12591	3197
319	12627	3156
320	12664	3116
321	12699	3076
322	12734	3035
323	12771	2995
324	12806	2955
325	12842	2915
326	12878	2875
327	12913	2834
328	12949	2794
329	12986	2754
330	13021	2714
331	13056	2674
332	13093	2634
333	13127	2594
334	13163	2554
335	13199	2514
336	13234	2474
337	13269	2434
338	13306	2394
339	13356	2357
340	13396	2317
341	13432	2278
342	13466	2237
343	13514	2199
344	13548	2159
345	13585	2120
346	13620	2080
347	13654	2040
348	13689	2000
349	13732	1961
350	13771	1922
351	13811	1883
352	13845	1843
353	13881	1803
354	13917	1764
355	13953	1724
356	13990	1685
357	14026	1645
358	14061	1605
359	14098	1566
360	14134	1526
361	14170	1487
362	14206	1448
363	14241	1408
364	14277	1369
365	14313	1329
366	14349	1290
367	14385	1250
368	14419	1211
369	14455	1172
370	14492	1132
371	14532	1093
372	14566	1054
373	14602	1015
374	14636	975
375	14673	936
376	14708	897
377	14744	858
378	14780	818
379	14815	779
380	14848	740
381	14886	701
382	14921	662
383	14957	623
384	14995	584
385	15029	545
386	15065	506
387	15101	467
388	15136	428
389	15172	389
390	15209	350
391	15245	311
392	15283	272
393	15320	233
394	15358	194
395	15396	155
396	15435	116
397	15484	77
398	15523	38
399	15576	0
